cmte,app,memno,cid,job,exp,init_score,gender,career_stage,consensus,panelist,exp_high,exp_low,exp_none,female,early_career,deviated,deviation,score
01,1,01,01_01,panelist,med,NA,female,early,4,1,0,0,0,1,1,0,0,4
01,1,02,01_02,reviewer,low,4.3,female,early,4,0,0,1,0,1,1,0,0,4
01,1,03,01_03,reviewer,med,4.2,female,early,4,0,0,0,0,1,1,1,-0.1,3.9
01,1,04,01_04,panelist,high,NA,female,early,4,1,1,0,0,1,1,0,0,4
01,1,05,01_05,panelist,none,NA,female,early,4,1,0,0,1,1,1,1,-0.3,3.7
01,1,06,01_06,panelist,low,NA,female,early,4,1,0,1,0,1,1,1,0.1,4.1
01,1,07,01_07,panelist,high,NA,female,early,4,1,1,0,0,1,1,0,0,4
01,1,08,01_08,panelist,med,NA,female,early,4,1,0,0,0,1,1,1,-0.2,3.8
01,1,09,01_09,panelist,high,NA,female,early,4,1,1,0,0,1,1,0,0,4
01,1,10,01_10,panelist,med,NA,female,early,4,1,0,0,0,1,1,1,-0.1,3.9
01,1,11,01_11,panelist,med,NA,female,early,4,1,0,0,0,1,1,0,0,4
01,1,12,01_12,panelist,med,NA,female,early,4,1,0,0,0,1,1,1,0.1,4.1
01,1,13,01_13,panelist,none,NA,female,early,4,1,0,0,1,1,1,1,0.1,4.1
01,1,14,01_14,panelist,high,NA,female,early,4,1,1,0,0,1,1,0,0,4
01,1,15,01_15,reviewer,low,3.4,female,early,4,0,0,1,0,1,1,0,0,4
01,1,16,01_16,panelist,high,NA,female,early,4,1,1,0,0,1,1,0,0,4
01,1,17,01_17,panelist,low,NA,female,early,4,1,0,1,0,1,1,0,0,4
01,1,18,01_18,panelist,med,NA,female,early,4,1,0,0,0,1,1,0,0,4
01,1,19,01_19,panelist,high,NA,female,early,4,1,1,0,0,1,1,1,-0.1,3.9
01,1,20,01_20,panelist,none,NA,female,early,4,1,0,0,1,1,1,1,-0.2,3.8
01,1,21,01_21,panelist,med,NA,female,early,4,1,0,0,0,1,1,0,0,4
01,1,22,01_22,panelist,none,NA,female,early,4,1,0,0,1,1,1,1,0.1,4.1
01,1,23,01_23,panelist,med,NA,female,early,4,1,0,0,0,1,1,0,0,4
01,1,24,01_24,panelist,med,NA,female,early,4,1,0,0,0,1,1,0,0,4
01,2,01,01_01,reviewer,med,4.4,female,established,4.4,0,0,0,0,1,0,1,-0.3,4.1
01,2,02,01_02,panelist,low,NA,female,established,4.4,1,0,1,0,1,0,1,0.1,4.5
01,2,03,01_03,reviewer,low,4.3,female,established,4.4,0,0,1,0,1,0,1,-0.1,4.3
01,2,04,01_04,panelist,low,NA,female,established,4.4,1,0,1,0,1,0,1,0.3,4.7
01,2,05,01_05,panelist,med,NA,female,established,4.4,1,0,0,0,1,0,1,0.1,4.5
01,2,06,01_06,panelist,med,NA,female,established,4.4,1,0,0,0,1,0,0,0,4.4
01,2,07,01_07,panelist,med,NA,female,established,4.4,1,0,0,0,1,0,0,0,4.4
01,2,08,01_08,panelist,med,NA,female,established,4.4,1,0,0,0,1,0,1,-0.1,4.3
01,2,09,01_09,panelist,high,NA,female,established,4.4,1,1,0,0,1,0,1,-0.1,4.3
01,2,10,01_10,panelist,med,NA,female,established,4.4,1,0,0,0,1,0,0,0,4.4
01,2,11,01_11,panelist,none,NA,female,established,4.4,1,0,0,1,1,0,0,0,4.4
01,2,12,01_12,panelist,none,NA,female,established,4.4,1,0,0,1,1,0,1,0.2,4.6
01,2,13,01_13,panelist,none,NA,female,established,4.4,1,0,0,1,1,0,1,-0.1,4.3
01,2,14,01_14,panelist,high,NA,female,established,4.4,1,1,0,0,1,0,0,0,4.4
01,2,15,01_15,reviewer,high,4.4,female,established,4.4,0,1,0,0,1,0,0,0,4.4
01,2,16,01_16,panelist,med,NA,female,established,4.4,1,0,0,0,1,0,1,0.1,4.5
01,2,17,01_17,panelist,high,NA,female,established,4.4,1,1,0,0,1,0,0,0,4.4
01,2,18,01_18,panelist,high,NA,female,established,4.4,1,1,0,0,1,0,1,-0.1,4.3
01,2,19,01_19,panelist,med,NA,female,established,4.4,1,0,0,0,1,0,1,-0.1,4.3
01,2,20,01_20,panelist,high,NA,female,established,4.4,1,1,0,0,1,0,0,0,4.4
01,2,21,01_21,panelist,med,NA,female,established,4.4,1,0,0,0,1,0,0,0,4.4
01,2,22,01_22,panelist,med,NA,female,established,4.4,1,0,0,0,1,0,0,0,4.4
01,2,23,01_23,panelist,low,NA,female,established,4.4,1,0,1,0,1,0,0,0,4.4
01,2,24,01_24,panelist,none,NA,female,established,4.4,1,0,0,1,1,0,1,0.1,4.5
01,5,01,01_01,panelist,none,NA,female,established,4.1,1,0,0,1,1,0,1,0.1,4.2
01,5,02,01_02,panelist,low,NA,female,established,4.1,1,0,1,0,1,0,0,0,4.1
01,5,03,01_03,panelist,none,NA,female,established,4.1,1,0,0,1,1,0,0,0,4.1
01,5,04,01_04,panelist,high,NA,female,established,4.1,1,1,0,0,1,0,0,0,4.1
01,5,05,01_05,panelist,none,NA,female,established,4.1,1,0,0,1,1,0,0,0,4.1
01,5,06,01_06,panelist,high,NA,female,established,4.1,1,1,0,0,1,0,0,0,4.1
01,5,07,01_07,panelist,high,NA,female,established,4.1,1,1,0,0,1,0,0,0,4.1
01,5,08,01_08,reviewer,med,4,female,established,4.1,0,0,0,0,1,0,0,0,4.1
01,5,09,01_09,panelist,med,NA,female,established,4.1,1,0,0,0,1,0,0,0,4.1
01,5,10,01_10,panelist,low,NA,female,established,4.1,1,0,1,0,1,0,0,0,4.1
01,5,11,01_11,panelist,high,NA,female,established,4.1,1,1,0,0,1,0,0,0,4.1
01,5,12,01_12,panelist,med,NA,female,established,4.1,1,0,0,0,1,0,0,0,4.1
01,5,13,01_13,reviewer,med,4.1,female,established,4.1,0,0,0,0,1,0,0,0,4.1
01,5,14,01_14,panelist,low,NA,female,established,4.1,1,0,1,0,1,0,0,0,4.1
01,5,15,01_15,panelist,med,NA,female,established,4.1,1,0,0,0,1,0,1,-0.3,3.8
01,5,16,01_16,panelist,high,NA,female,established,4.1,1,1,0,0,1,0,0,0,4.1
01,5,17,01_17,panelist,med,NA,female,established,4.1,1,0,0,0,1,0,0,0,4.1
01,5,18,01_18,panelist,none,NA,female,established,4.1,1,0,0,1,1,0,1,-0.2,3.9
01,5,19,01_19,panelist,med,NA,female,established,4.1,1,0,0,0,1,0,1,-0.1,4
01,5,20,01_20,panelist,high,NA,female,established,4.1,1,1,0,0,1,0,0,0,4.1
01,5,21,01_21,panelist,med,NA,female,established,4.1,1,0,0,0,1,0,1,-0.2,3.9
01,5,22,01_22,panelist,low,NA,female,established,4.1,1,0,1,0,1,0,1,-0.1,4
01,5,23,01_23,reviewer,med,4.1,female,established,4.1,0,0,0,0,1,0,0,0,4.1
01,5,24,01_24,panelist,med,NA,female,established,4.1,1,0,0,0,1,0,0,0,4.1
01,6,01,01_01,panelist,high,NA,female,established,4.4,1,1,0,0,1,0,0,0,4.4
01,6,02,01_02,panelist,low,NA,female,established,4.4,1,0,1,0,1,0,1,0.1,4.5
01,6,03,01_03,panelist,high,NA,female,established,4.4,1,1,0,0,1,0,0,0,4.4
01,6,04,01_04,reviewer,none,4.7,female,established,4.4,0,0,0,1,1,0,0,0,4.4
01,6,05,01_05,reviewer,med,4.5,female,established,4.4,0,0,0,0,1,0,0,0,4.4
01,6,06,01_06,panelist,med,NA,female,established,4.4,1,0,0,0,1,0,1,-0.1,4.3
01,6,07,01_07,panelist,med,NA,female,established,4.4,1,0,0,0,1,0,1,0.1,4.5
01,6,08,01_08,panelist,none,NA,female,established,4.4,1,0,0,1,1,0,1,-0.3,4.1
01,6,09,01_09,panelist,none,NA,female,established,4.4,1,0,0,1,1,0,1,0.3,4.7
01,6,10,01_10,panelist,med,NA,female,established,4.4,1,0,0,0,1,0,0,0,4.4
01,6,11,01_11,panelist,high,NA,female,established,4.4,1,1,0,0,1,0,1,0.1,4.5
01,6,12,01_12,panelist,high,NA,female,established,4.4,1,1,0,0,1,0,1,0.1,4.5
01,6,13,01_13,reviewer,low,3.9,female,established,4.4,0,0,1,0,1,0,1,-0.1,4.3
01,6,14,01_14,panelist,med,NA,female,established,4.4,1,0,0,0,1,0,1,0.3,4.7
01,6,15,01_15,panelist,med,NA,female,established,4.4,1,0,0,0,1,0,1,-0.2,4.2
01,6,16,01_16,panelist,med,NA,female,established,4.4,1,0,0,0,1,0,0,0,4.4
01,6,17,01_17,panelist,med,NA,female,established,4.4,1,0,0,0,1,0,0,0,4.4
01,6,18,01_18,panelist,high,NA,female,established,4.4,1,1,0,0,1,0,0,0,4.4
01,6,19,01_19,panelist,med,NA,female,established,4.4,1,0,0,0,1,0,0,0,4.4
01,6,20,01_20,panelist,high,NA,female,established,4.4,1,1,0,0,1,0,1,-0.2,4.2
01,6,21,01_21,panelist,low,NA,female,established,4.4,1,0,1,0,1,0,1,0.2,4.6
01,6,22,01_22,panelist,low,NA,female,established,4.4,1,0,1,0,1,0,1,-0.1,4.3
01,6,23,01_23,panelist,none,NA,female,established,4.4,1,0,0,1,1,0,1,-0.1,4.3
01,6,24,01_24,panelist,med,NA,female,established,4.4,1,0,0,0,1,0,1,-0.2,4.2
01,9,01,01_01,panelist,high,NA,female,early,4.2,1,1,0,0,1,1,0,0,4.2
01,9,02,01_02,panelist,none,NA,female,early,4.2,1,0,0,1,1,1,0,0,4.2
01,9,03,01_03,panelist,high,NA,female,early,4.2,1,1,0,0,1,1,0,0,4.2
01,9,04,01_04,panelist,med,NA,female,early,4.2,1,0,0,0,1,1,1,0.1,4.3
01,9,05,01_05,panelist,med,NA,female,early,4.2,1,0,0,0,1,1,0,0,4.2
01,9,06,01_06,panelist,none,NA,female,early,4.2,1,0,0,1,1,1,1,-0.2,4
01,9,07,01_07,panelist,high,NA,female,early,4.2,1,1,0,0,1,1,0,0,4.2
01,9,08,01_08,panelist,med,NA,female,early,4.2,1,0,0,0,1,1,1,-0.2,4
01,9,09,01_09,panelist,none,NA,female,early,4.2,1,0,0,1,1,1,1,0.2,4.4
01,9,10,01_10,panelist,med,NA,female,early,4.2,1,0,0,0,1,1,1,0.1,4.3
01,9,11,01_11,reviewer,low,4.7,female,early,4.2,0,0,1,0,1,1,0,0,4.2
01,9,12,01_12,panelist,high,NA,female,early,4.2,1,1,0,0,1,1,1,0.1,4.3
01,9,13,01_13,reviewer,med,4.2,female,early,4.2,0,0,0,0,1,1,0,0,4.2
01,9,14,01_14,reviewer,med,3.8,female,early,4.2,0,0,0,0,1,1,0,0,4.2
01,9,15,01_15,panelist,high,NA,female,early,4.2,1,1,0,0,1,1,0,0,4.2
01,9,16,01_16,panelist,low,NA,female,early,4.2,1,0,1,0,1,1,0,0,4.2
01,9,17,01_17,panelist,med,NA,female,early,4.2,1,0,0,0,1,1,0,0,4.2
01,9,18,01_18,panelist,med,NA,female,early,4.2,1,0,0,0,1,1,0,0,4.2
01,9,19,01_19,panelist,low,NA,female,early,4.2,1,0,1,0,1,1,0,0,4.2
01,9,20,01_20,panelist,med,NA,female,early,4.2,1,0,0,0,1,1,1,-0.1,4.1
01,9,21,01_21,panelist,med,NA,female,early,4.2,1,0,0,0,1,1,0,0,4.2
01,9,22,01_22,panelist,low,NA,female,early,4.2,1,0,1,0,1,1,1,-0.2,4
01,9,23,01_23,panelist,none,NA,female,early,4.2,1,0,0,1,1,1,1,-0.1,4.1
01,9,24,01_24,panelist,high,NA,female,early,4.2,1,1,0,0,1,1,0,0,4.2
01,11,01,01_01,panelist,med,NA,female,early,4.5,1,0,0,0,1,1,1,-0.1,4.4
01,11,02,01_02,panelist,none,NA,female,early,4.5,1,0,0,1,1,1,1,0.3,4.8
01,11,03,01_03,panelist,none,NA,female,early,4.5,1,0,0,1,1,1,1,-0.1,4.4
01,11,04,01_04,panelist,med,NA,female,early,4.5,1,0,0,0,1,1,1,0.3,4.8
01,11,05,01_05,panelist,low,NA,female,early,4.5,1,0,1,0,1,1,0,0,4.5
01,11,06,01_06,panelist,med,NA,female,early,4.5,1,0,0,0,1,1,1,0.1,4.6
01,11,07,01_07,reviewer,none,4.4,female,early,4.5,0,0,0,1,1,1,1,-0.1,4.4
01,11,08,01_08,panelist,med,NA,female,early,4.5,1,0,0,0,1,1,1,-0.1,4.4
01,11,09,01_09,panelist,low,NA,female,early,4.5,1,0,1,0,1,1,0,0,4.5
01,11,10,01_10,panelist,med,NA,female,early,4.5,1,0,0,0,1,1,0,0,4.5
01,11,11,01_11,panelist,high,NA,female,early,4.5,1,1,0,0,1,1,0,0,4.5
01,11,12,01_12,panelist,high,NA,female,early,4.5,1,1,0,0,1,1,0,0,4.5
01,11,13,01_13,panelist,high,NA,female,early,4.5,1,1,0,0,1,1,0,0,4.5
01,11,14,01_14,panelist,med,NA,female,early,4.5,1,0,0,0,1,1,1,0.4,4.9
01,11,15,01_15,reviewer,high,4.6,female,early,4.5,0,1,0,0,1,1,0,0,4.5
01,11,16,01_16,panelist,none,NA,female,early,4.5,1,0,0,1,1,1,1,0.2,4.7
01,11,17,01_17,panelist,high,NA,female,early,4.5,1,1,0,0,1,1,0,0,4.5
01,11,18,01_18,panelist,med,NA,female,early,4.5,1,0,0,0,1,1,1,0.1,4.6
01,11,19,01_19,panelist,med,NA,female,early,4.5,1,0,0,0,1,1,0,0,4.5
01,11,20,01_20,reviewer,low,4.5,female,early,4.5,0,0,1,0,1,1,1,-0.1,4.4
01,11,21,01_21,panelist,med,NA,female,early,4.5,1,0,0,0,1,1,1,0.1,4.6
01,11,22,01_22,panelist,low,NA,female,early,4.5,1,0,1,0,1,1,1,-0.1,4.4
01,11,23,01_23,panelist,high,NA,female,early,4.5,1,1,0,0,1,1,0,0,4.5
01,11,24,01_24,panelist,med,NA,female,early,4.5,1,0,0,0,1,1,1,-0.2,4.3
01,13,01,01_01,panelist,med,NA,female,early,3.7,1,0,0,0,1,1,0,0,3.7
01,13,02,01_02,panelist,high,NA,female,early,3.7,1,1,0,0,1,1,0,0,3.7
01,13,03,01_03,panelist,high,NA,female,early,3.7,1,1,0,0,1,1,0,0,3.7
01,13,04,01_04,panelist,none,NA,female,early,3.7,1,0,0,1,1,1,1,0.2,3.9
01,13,05,01_05,panelist,low,NA,female,early,3.7,1,0,1,0,1,1,0,0,3.7
01,13,06,01_06,panelist,none,NA,female,early,3.7,1,0,0,1,1,1,0,0,3.7
01,13,07,01_07,panelist,med,NA,female,early,3.7,1,0,0,0,1,1,1,0.2,3.9
01,13,08,01_08,panelist,med,NA,female,early,3.7,1,0,0,0,1,1,0,0,3.7
01,13,09,01_09,panelist,med,NA,female,early,3.7,1,0,0,0,1,1,0,0,3.7
01,13,10,01_10,reviewer,med,3.3,female,early,3.7,0,0,0,0,1,1,0,0,3.7
01,13,11,01_11,panelist,low,NA,female,early,3.7,1,0,1,0,1,1,1,0.1,3.8
01,13,12,01_12,reviewer,none,3.7,female,early,3.7,0,0,0,1,1,1,1,-0.1,3.6
01,13,13,01_13,panelist,high,NA,female,early,3.7,1,1,0,0,1,1,0,0,3.7
01,13,14,01_14,panelist,low,NA,female,early,3.7,1,0,1,0,1,1,0,0,3.7
01,13,15,01_15,panelist,med,NA,female,early,3.7,1,0,0,0,1,1,1,-0.2,3.5
01,13,16,01_16,panelist,med,NA,female,early,3.7,1,0,0,0,1,1,1,0.2,3.9
01,13,17,01_17,panelist,high,NA,female,early,3.7,1,1,0,0,1,1,0,0,3.7
01,13,18,01_18,panelist,none,NA,female,early,3.7,1,0,0,1,1,1,1,0.1,3.8
01,13,19,01_19,panelist,med,NA,female,early,3.7,1,0,0,0,1,1,1,0.1,3.8
01,13,20,01_20,panelist,low,NA,female,early,3.7,1,0,1,0,1,1,1,-0.3,3.4
01,13,21,01_21,panelist,high,NA,female,early,3.7,1,1,0,0,1,1,1,-0.2,3.5
01,13,22,01_22,panelist,high,NA,female,early,3.7,1,1,0,0,1,1,0,0,3.7
01,13,23,01_23,reviewer,med,4.1,female,early,3.7,0,0,0,0,1,1,0,0,3.7
01,13,24,01_24,panelist,med,NA,female,early,3.7,1,0,0,0,1,1,0,0,3.7
01,14,01,01_01,panelist,low,NA,male,early,3.6,1,0,1,0,0,1,1,-0.1,3.5
01,14,02,01_02,panelist,med,NA,male,early,3.6,1,0,0,0,0,1,1,0.1,3.7
01,14,03,01_03,panelist,med,NA,male,early,3.6,1,0,0,0,0,1,0,0,3.6
01,14,04,01_04,panelist,med,NA,male,early,3.6,1,0,0,0,0,1,1,-0.3,3.3
01,14,05,01_05,panelist,high,NA,male,early,3.6,1,1,0,0,0,1,1,0.1,3.7
01,14,06,01_06,panelist,med,NA,male,early,3.6,1,0,0,0,0,1,1,0.1,3.7
01,14,07,01_07,reviewer,med,3.8,male,early,3.6,0,0,0,0,0,1,0,0,3.6
01,14,08,01_08,panelist,high,NA,male,early,3.6,1,1,0,0,0,1,0,0,3.6
