cmte,app,memno,cid,job,exp,init_score,consensus,panelist,exp_high,exp_low,exp_none,deviated,deviation,score
01,1,01,01_01,panelist,none,NA,4.4,1,0,0,1,0,0,4.4
01,1,02,01_02,panelist,low,NA,4.4,1,0,1,0,0,0,4.4
01,1,03,01_03,panelist,none,NA,4.4,1,0,0,1,1,0.2,4.6
01,1,04,01_04,panelist,med,NA,4.4,1,0,0,0,0,0,4.4
01,1,05,01_05,panelist,low,NA,4.4,1,0,1,0,0,0,4.4
01,1,06,01_06,panelist,none,NA,4.4,1,0,0,1,1,0.1,4.5
01,1,07,01_07,reviewer,med,4.5,4.4,0,0,0,0,1,-0.4,4
01,1,08,01_08,panelist,none,NA,4.4,1,0,0,1,1,0.4,4.8
01,1,09,01_09,panelist,none,NA,4.4,1,0,0,1,1,-0.1,4.3
01,1,10,01_10,panelist,low,NA,4.4,1,0,1,0,0,0,4.4
01,1,11,01_11,panelist,none,NA,4.4,1,0,0,1,0,0,4.4
01,1,12,01_12,panelist,low,NA,4.4,1,0,1,0,0,0,4.4
01,1,13,01_13,panelist,med,NA,4.4,1,0,0,0,1,-0.1,4.3
01,1,14,01_14,panelist,none,NA,4.4,1,0,0,1,1,0.1,4.5
01,1,15,01_15,panelist,low,NA,4.4,1,0,1,0,0,0,4.4
01,1,16,01_16,panelist,high,NA,4.4,1,1,0,0,0,0,4.4
01,1,17,01_17,panelist,high,NA,4.4,1,1,0,0,0,0,4.4
01,1,18,01_18,reviewer,med,4,4.4,0,0,0,0,1,0.3,4.7
01,1,19,01_19,panelist,none,NA,4.4,1,0,0,1,0,0,4.4
01,1,20,01_20,panelist,none,NA,4.4,1,0,0,1,1,-0.1,4.3
01,1,21,01_21,panelist,low,NA,4.4,1,0,1,0,0,0,4.4
01,1,22,01_22,panelist,none,NA,4.4,1,0,0,1,1,0.2,4.6
01,1,23,01_23,reviewer,med,4.6,4.4,0,0,0,0,0,0,4.4
01,1,24,01_24,panelist,low,NA,4.4,1,0,1,0,0,0,4.4
01,3,01,01_01,panelist,low,NA,3.8,1,0,1,0,0,0,3.8
01,3,02,01_02,panelist,low,NA,3.8,1,0,1,0,1,-0.1,3.7
01,3,03,01_03,reviewer,none,3.6,3.8,0,0,0,1,0,0,3.8
01,3,04,01_04,panelist,low,NA,3.8,1,0,1,0,1,-0.2,3.6
01,3,05,01_05,panelist,none,NA,3.8,1,0,0,1,1,-0.1,3.7
01,3,06,01_06,panelist,none,NA,3.8,1,0,0,1,0,0,3.8
01,3,07,01_07,panelist,none,NA,3.8,1,0,0,1,1,-0.2,3.6
01,3,08,01_08,panelist,none,NA,3.8,1,0,0,1,0,0,3.8
01,3,09,01_09,panelist,none,NA,3.8,1,0,0,1,0,0,3.8
01,3,10,01_10,panelist,med,NA,3.8,1,0,0,0,0,0,3.8
01,3,11,01_11,panelist,low,NA,3.8,1,0,1,0,0,0,3.8
01,3,12,01_12,panelist,none,NA,3.8,1,0,0,1,0,0,3.8
01,3,13,01_13,panelist,med,NA,3.8,1,0,0,0,0,0,3.8
01,3,14,01_14,panelist,low,NA,3.8,1,0,1,0,1,0.3,4.1
01,3,15,01_15,panelist,none,NA,3.8,1,0,0,1,0,0,3.8
01,3,16,01_16,panelist,med,NA,3.8,1,0,0,0,0,0,3.8
01,3,17,01_17,panelist,high,NA,3.8,1,1,0,0,1,0.1,3.9
01,3,18,01_18,reviewer,low,4.1,3.8,0,0,1,0,0,0,3.8
01,3,19,01_19,panelist,med,NA,3.8,1,0,0,0,0,0,3.8
01,3,20,01_20,panelist,low,NA,3.8,1,0,1,0,0,0,3.8
01,3,21,01_21,panelist,none,NA,3.8,1,0,0,1,1,0.3,4.1
01,3,22,01_22,panelist,med,NA,3.8,1,0,0,0,0,0,3.8
01,3,23,01_23,panelist,high,NA,3.8,1,1,0,0,0,0,3.8
01,3,24,01_24,reviewer,none,3.8,3.8,0,0,0,1,0,0,3.8
01,4,01,01_01,panelist,low,NA,3.6,1,0,1,0,1,-0.2,3.4
01,4,02,01_02,panelist,none,NA,3.6,1,0,0,1,1,-0.3,3.3
01,4,03,01_03,panelist,none,NA,3.6,1,0,0,1,0,0,3.6
01,4,04,01_04,reviewer,none,3.6,3.6,0,0,0,1,1,0.1,3.7
01,4,05,01_05,panelist,none,NA,3.6,1,0,0,1,1,-0.2,3.4
01,4,06,01_06,panelist,low,NA,3.6,1,0,1,0,0,0,3.6
01,4,07,01_07,panelist,low,NA,3.6,1,0,1,0,1,0.1,3.7
01,4,08,01_08,panelist,med,NA,3.6,1,0,0,0,0,0,3.6
01,4,09,01_09,panelist,none,NA,3.6,1,0,0,1,0,0,3.6
01,4,10,01_10,panelist,none,NA,3.6,1,0,0,1,1,0.1,3.7
01,4,11,01_11,panelist,none,NA,3.6,1,0,0,1,1,-0.1,3.5
01,4,12,01_12,panelist,low,NA,3.6,1,0,1,0,0,0,3.6
01,4,13,01_13,panelist,high,NA,3.6,1,1,0,0,0,0,3.6
01,4,14,01_14,panelist,low,NA,3.6,1,0,1,0,0,0,3.6
01,4,15,01_15,reviewer,low,3.4,3.6,0,0,1,0,0,0,3.6
