cmte,app,memno,cid,job,exp,panelist,exp_high,exp_low,exp_none,score
01,1,01,01_01,panelist,none,1,0,0,1,4.426218857462618
01,1,02,01_02,panelist,med,1,0,0,0,4.491622415282422
01,1,03,01_03,panelist,med,1,0,0,0,3.926661680179686
01,1,04,01_04,reviewer,none,0,0,0,1,3.932127462104516
01,1,05,01_05,panelist,high,1,1,0,0,3.9560934158308583
01,1,06,01_06,panelist,low,1,0,1,0,4.350587746178191
01,1,07,01_07,panelist,high,1,1,0,0,3.8469342749938926
01,1,08,01_08,panelist,med,1,0,0,0,4.587393994998779
01,1,09,01_09,panelist,low,1,0,1,0,4.610878259831225
01,1,10,01_10,reviewer,none,0,0,0,1,4.35314616036432
01,1,11,01_11,panelist,med,1,0,0,0,4.029980351587855
01,1,12,01_12,panelist,none,1,0,0,1,4.699524601144724
01,1,13,01_13,panelist,med,1,0,0,0,4.4866238175182485
01,1,14,01_14,panelist,med,1,0,0,0,4.339830635931176
01,1,15,01_15,panelist,med,1,0,0,0,3.970953652078955
01,1,16,01_16,panelist,high,1,1,0,0,3.957073488108098
01,1,17,01_17,panelist,high,1,1,0,0,4.035795087962797
01,1,18,01_18,panelist,low,1,0,1,0,4.2114313344483945
01,1,19,01_19,panelist,med,1,0,0,0,4.16505875379235
01,1,20,01_20,panelist,low,1,0,1,0,4.471278704439796
01,1,21,01_21,panelist,med,1,0,0,0,4.087606438219356
01,1,22,01_22,panelist,med,1,0,0,0,4.291808580807095
01,1,23,01_23,reviewer,high,0,1,0,0,3.690519190574866
01,1,24,01_24,panelist,high,1,1,0,0,3.6689586949127584
01,2,01,01_01,panelist,med,1,0,0,0,4.248690305624671
01,2,02,01_02,panelist,low,1,0,1,0,4.856099020365614
01,2,03,01_03,panelist,low,1,0,1,0,4.208222721435891
01,2,04,01_04,reviewer,med,0,0,0,0,3.8365452805500677
01,2,05,01_05,panelist,med,1,0,0,0,3.9300315517590882
01,2,06,01_06,panelist,low,1,0,1,0,4.594904859325829
01,2,07,01_07,panelist,none,1,0,0,1,4.099756882467151
