cmte,app,memno,cid,aid,exp,job,init_score,top_bottom,consensus,any_bottom,rank_pct,discussed,panelist,exp_med,exp_low,exp_none,deviated,dev_sd_i,deviation,score
01,2,01,01_01,01_2,none,panelist,NA,NA,4.1,TRUE,0.6739130434782609,TRUE,1,0,0,1,0,0.3,0,4.1
01,2,02,01_02,01_2,none,panelist,NA,NA,4.1,TRUE,0.6739130434782609,TRUE,1,0,0,1,0,0.3,0,4.1
01,2,03,01_03,01_2,low,panelist,NA,NA,4.1,TRUE,0.6739130434782609,TRUE,1,0,1,0,0,0.3,0,4.1
01,2,04,01_04,01_2,low,panelist,NA,NA,4.1,TRUE,0.6739130434782609,TRUE,1,0,1,0,0,0.3,0,4.1
01,2,05,01_05,01_2,low,panelist,NA,NA,4.1,TRUE,0.6739130434782609,TRUE,1,0,1,0,1,0.3,-0.1,4
01,2,06,01_06,01_2,med,panelist,NA,NA,4.1,TRUE,0.6739130434782609,TRUE,1,1,0,0,0,0.3,0,4.1
01,2,07,01_07,01_2,none,panelist,NA,NA,4.1,TRUE,0.6739130434782609,TRUE,1,0,0,1,0,0.3,0,4.1
01,2,08,01_08,01_2,med,reviewer,4.4,top,4.1,TRUE,0.6739130434782609,TRUE,0,1,0,0,1,0.15,-0.1,4
01,2,09,01_09,01_2,none,panelist,NA,NA,4.1,TRUE,0.6739130434782609,TRUE,1,0,0,1,0,0.3,0,4.1
01,2,10,01_10,01_2,none,panelist,NA,NA,4.1,TRUE,0.6739130434782609,TRUE,1,0,0,1,0,0.3,0,4.1
01,2,11,01_11,01_2,low,panelist,NA,NA,4.1,TRUE,0.6739130434782609,TRUE,1,0,1,0,0,0.3,0,4.1
01,2,12,01_12,01_2,med,panelist,NA,NA,4.1,TRUE,0.6739130434782609,TRUE,1,1,0,0,1,0.3,-0.1,4
01,2,13,01_13,01_2,med,panelist,NA,NA,4.1,TRUE,0.6739130434782609,TRUE,1,1,0,0,0,0.3,0,4.1
01,2,14,01_14,01_2,low,panelist,NA,NA,4.1,TRUE,0.6739130434782609,TRUE,1,0,1,0,0,0.3,0,4.1
01,2,15,01_15,01_2,none,panelist,NA,NA,4.1,TRUE,0.6739130434782609,TRUE,1,0,0,1,0,0.3,0,4.1
01,2,16,01_16,01_2,med,panelist,NA,NA,4.1,TRUE,0.6739130434782609,TRUE,1,1,0,0,1,0.3,-0.1,4
01,2,17,01_17,01_2,med,reviewer,3.4,bottom,4.1,TRUE,0.6739130434782609,TRUE,0,1,0,0,1,0.15,-0.2,3.9
01,2,18,01_18,01_2,med,panelist,NA,NA,4.1,TRUE,0.6739130434782609,TRUE,1,1,0,0,1,0.3,-0.2,3.9
01,2,19,01_19,01_2,med,reviewer,4.4,top,4.1,TRUE,0.6739130434782609,TRUE,0,1,0,0,0,0.15,0,4.1
01,2,20,01_20,01_2,low,panelist,NA,NA,4.1,TRUE,0.6739130434782609,TRUE,1,0,1,0,1,0.3,0.2,4.3
01,2,21,01_21,01_2,low,panelist,NA,NA,4.1,TRUE,0.6739130434782609,TRUE,1,0,1,0,0,0.3,0,4.1
01,2,22,01_22,01_2,low,panelist,NA,NA,4.1,TRUE,0.6739130434782609,TRUE,1,0,1,0,0,0.3,0,4.1
01,2,23,01_23,01_2,low,panelist,NA,NA,4.1,TRUE,0.6739130434782609,TRUE,1,0,1,0,0,0.3,0,4.1
01,8,01,01_01,01_8,high,reviewer,4.1,bottom,4.2,TRUE,0.782608695652174,TRUE,0,0,0,0,0,0.15,0,4.2
01,8,02,01_02,01_8,high,panelist,NA,NA,4.2,TRUE,0.782608695652174,TRUE,1,0,0,0,0,0.3,0,4.2
01,8,03,01_03,01_8,low,panelist,NA,NA,4.2,TRUE,0.782608695652174,TRUE,1,0,1,0,1,0.3,0.3,4.5
01,8,04,01_04,01_8,none,panelist,NA,NA,4.2,TRUE,0.782608695652174,TRUE,1,0,0,1,0,0.3,0,4.2
01,8,05,01_05,01_8,none,panelist,NA,NA,4.2,TRUE,0.782608695652174,TRUE,1,0,0,1,1,0.3,0.1,4.3
01,8,06,01_06,01_8,none,panelist,NA,NA,4.2,TRUE,0.782608695652174,TRUE,1,0,0,1,0,0.3,0,4.2
01,8,07,01_07,01_8,none,panelist,NA,NA,4.2,TRUE,0.782608695652174,TRUE,1,0,0,1,0,0.3,0,4.2
01,8,08,01_08,01_8,low,panelist,NA,NA,4.2,TRUE,0.782608695652174,TRUE,1,0,1,0,1,0.3,0.1,4.3
01,8,09,01_09,01_8,low,panelist,NA,NA,4.2,TRUE,0.782608695652174,TRUE,1,0,1,0,1,0.3,-0.2,4
01,8,10,01_10,01_8,none,panelist,NA,NA,4.2,TRUE,0.782608695652174,TRUE,1,0,0,1,0,0.3,0,4.2
01,8,11,01_11,01_8,none,panelist,NA,NA,4.2,TRUE,0.782608695652174,TRUE,1,0,0,1,1,0.3,-0.1,4.1
01,8,12,01_12,01_8,med,panelist,NA,NA,4.2,TRUE,0.782608695652174,TRUE,1,1,0,0,0,0.3,0,4.2
01,8,13,01_13,01_8,med,panelist,NA,NA,4.2,TRUE,0.782608695652174,TRUE,1,1,0,0,1,0.3,-0.4,3.8
01,8,14,01_14,01_8,med,reviewer,3.8,bottom,4.2,TRUE,0.782608695652174,TRUE,0,1,0,0,1,0.15,0.5,4.7
01,8,15,01_15,01_8,low,panelist,NA,NA,4.2,TRUE,0.782608695652174,TRUE,1,0,1,0,1,0.3,0.2,4.4
01,8,16,01_16,01_8,med,panelist,NA,NA,4.2,TRUE,0.782608695652174,TRUE,1,1,0,0,1,0.3,0.4,4.6
01,8,17,01_17,01_8,none,panelist,NA,NA,4.2,TRUE,0.782608695652174,TRUE,1,0,0,1,0,0.3,0,4.2
01,8,18,01_18,01_8,none,panelist,NA,NA,4.2,TRUE,0.782608695652174,TRUE,1,0,0,1,0,0.3,0,4.2
01,8,19,01_19,01_8,none,panelist,NA,NA,4.2,TRUE,0.782608695652174,TRUE,1,0,0,1,0,0.3,0,4.2
01,8,20,01_20,01_8,low,panelist,NA,NA,4.2,TRUE,0.782608695652174,TRUE,1,0,1,0,1,0.3,0.4,4.6
01,8,21,01_21,01_8,low,reviewer,4.7,top,4.2,TRUE,0.782608695652174,TRUE,0,0,1,0,0,0.15,0,4.2
01,8,22,01_22,01_8,med,panelist,NA,NA,4.2,TRUE,0.782608695652174,TRUE,1,1,0,0,1,0.3,0.3,4.5
01,8,23,01_23,01_8,none,panelist,NA,NA,4.2,TRUE,0.782608695652174,TRUE,1,0,0,1,0,0.3,0,4.2
