cmte,app,memno,cid,job,exp,panelist,exp_high,exp_low,exp_none,consensus,deviated,deviation,score
01,1,01,01_01,panelist,none,1,0,0,1,3.808045505241061,0,0,3.808045505241061
01,1,02,01_02,panelist,med,1,0,0,0,3.808045505241061,0,0,3.808045505241061
01,1,03,01_03,panelist,med,1,0,0,0,3.808045505241061,0,0,3.808045505241061
01,1,04,01_04,reviewer,none,0,0,0,1,3.808045505241061,1,-0.19102686640924826,3.6170186388318126
01,1,05,01_05,panelist,high,1,1,0,0,3.808045505241061,0,0,3.808045505241061
01,1,06,01_06,panelist,low,1,0,1,0,3.808045505241061,0,0,3.808045505241061
01,1,07,01_07,panelist,high,1,1,0,0,3.808045505241061,0,0,3.808045505241061
01,1,08,01_08,panelist,med,1,0,0,0,3.808045505241061,0,0,3.808045505241061
01,1,09,01_09,panelist,low,1,0,1,0,3.808045505241061,1,-0.3275619646820959,3.5
01,1,10,01_10,reviewer,none,0,0,0,1,3.808045505241061,0,0,3.808045505241061
01,1,11,01_11,panelist,med,1,0,0,0,3.808045505241061,0,0,3.808045505241061
01,1,12,01_12,panelist,none,1,0,0,1,3.808045505241061,1,-0.04546021623790873,3.762585289003152
01,1,13,01_13,panelist,med,1,0,0,0,3.808045505241061,0,0,3.808045505241061
01,1,14,01_14,panelist,med,1,0,0,0,3.808045505241061,1,0.4201026481402005,4.2281481533812615
01,1,15,01_15,panelist,med,1,0,0,0,3.808045505241061,1,-0.02177092290484112,3.78627458233622
01,1,16,01_16,panelist,high,1,1,0,0,3.808045505241061,1,-0.1067590953508633,3.7012864098901974
01,1,17,01_17,panelist,high,1,1,0,0,3.808045505241061,0,0,3.808045505241061
01,1,18,01_18,panelist,low,1,0,1,0,3.808045505241061,0,0,3.808045505241061
01,1,19,01_19,panelist,med,1,0,0,0,3.808045505241061,0,0,3.808045505241061
01,1,20,01_20,panelist,low,1,0,1,0,3.808045505241061,1,-0.05860389575514773,3.7494416094859133
01,1,21,01_21,panelist,med,1,0,0,0,3.808045505241061,0,0,3.808045505241061
01,1,22,01_22,panelist,med,1,0,0,0,3.808045505241061,1,0.08185936754336344,3.8899048727844243
01,1,23,01_23,reviewer,high,0,1,0,0,3.808045505241061,0,0,3.808045505241061
01,1,24,01_24,panelist,high,1,1,0,0,3.808045505241061,1,0.07259051531441912,3.88063602055548
01,2,01,01_01,panelist,med,1,0,0,0,4.662573830898272,0,0,4.662573830898272
01,2,02,01_02,panelist,low,1,0,1,0,4.662573830898272,1,0.3170455405564733,4.9
01,2,03,01_03,panelist,low,1,0,1,0,4.662573830898272,0,0,4.662573830898272
01,2,04,01_04,reviewer,med,0,0,0,0,4.662573830898272,0,0,4.662573830898272
01,2,05,01_05,panelist,med,1,0,0,0,4.662573830898272,1,0.06243617693195774,4.72501000783023
01,2,06,01_06,panelist,low,1,0,1,0,4.662573830898272,1,-0.2036844731839688,4.458889357714304
01,2,07,01_07,panelist,none,1,0,0,1,4.662573830898272,1,-0.03152988616275724,4.631043944735515
01,2,08,01_08,panelist,none,1,0,0,1,4.662573830898272,0,0,4.662573830898272
01,2,09,01_09,panelist,high,1,1,0,0,4.662573830898272,0,0,4.662573830898272
01,2,10,01_10,panelist,none,1,0,0,1,4.662573830898272,1,0.17057883782629113,4.833152668724563
01,2,11,01_11,panelist,high,1,1,0,0,4.662573830898272,1,-0.0011580552650946327,4.661415775633177
01,2,12,01_12,panelist,med,1,0,0,0,4.662573830898272,0,0,4.662573830898272
01,2,13,01_13,panelist,med,1,0,0,0,4.662573830898272,0,0,4.662573830898272
01,2,14,01_14,panelist,none,1,0,0,1,4.662573830898272,1,-0.15148397749965906,4.511089853398613
01,2,15,01_15,reviewer,med,0,0,0,0,4.662573830898272,0,0,4.662573830898272
01,2,16,01_16,panelist,med,1,0,0,0,4.662573830898272,1,0.09133603682714406,4.753909867725416
01,2,17,01_17,panelist,low,1,0,1,0,4.662573830898272,0,0,4.662573830898272
01,2,18,01_18,panelist,high,1,1,0,0,4.662573830898272,0,0,4.662573830898272
01,2,19,01_19,reviewer,med,0,0,0,0,4.662573830898272,1,-0.0285111338681105,4.634062697030162
01,2,20,01_20,panelist,med,1,0,0,0,4.662573830898272,1,-0.12048952994895828,4.5420843009493135
01,2,21,01_21,panelist,high,1,1,0,0,4.662573830898272,0,0,4.662573830898272
01,2,22,01_22,panelist,high,1,1,0,0,4.662573830898272,1,0.21154907355962374,4.874122904457896
01,2,23,01_23,panelist,high,1,1,0,0,4.662573830898272,0,0,4.662573830898272
01,2,24,01_24,panelist,med,1,0,0,0,4.662573830898272,0,0,4.662573830898272
01,3,01,01_01,panelist,low,1,0,1,0,3.591450108775086,0,0,3.591450108775086
01,3,02,01_02,reviewer,low,0,0,1,0,3.591450108775086,0,0,3.591450108775086
01,3,03,01_03,panelist,low,1,0,1,0,3.591450108775086,0,0,3.591450108775086
01,3,04,01_04,reviewer,med,0,0,0,0,3.591450108775086,1,-0.1426801269769134,3.5
01,3,05,01_05,panelist,med,1,0,0,0,3.591450108775086,1,-0.10385486054782538,3.5
01,3,06,01_06,panelist,med,1,0,0,0,3.591450108775086,1,0.0019190856849654217,3.593369194460051
