cmte,app,memno,cid,job,exp,init_score,top_bottom,consensus,any_bottom,rank_pct,discussed,panelist,exp_high,exp_low,exp_none,deviated,deviation,score
01,1,01,01_01,panelist,none,NA,NA,3.8,FALSE,0.3333333333333333,TRUE,1,0,0,1,0,0,3.8
01,1,02,01_02,panelist,med,NA,NA,3.8,FALSE,0.3333333333333333,TRUE,1,0,0,0,1,-0.2,3.6
01,1,03,01_03,panelist,med,NA,NA,3.8,FALSE,0.3333333333333333,TRUE,1,0,0,0,0,0,3.8
01,1,04,01_04,panelist,high,NA,NA,3.8,FALSE,0.3333333333333333,TRUE,1,1,0,0,0,0,3.8
01,1,05,01_05,panelist,high,NA,NA,3.8,FALSE,0.3333333333333333,TRUE,1,1,0,0,0,0,3.8
01,1,06,01_06,panelist,med,NA,NA,3.8,FALSE,0.3333333333333333,TRUE,1,0,0,0,0,0,3.8
01,1,07,01_07,panelist,low,NA,NA,3.8,FALSE,0.3333333333333333,TRUE,1,0,1,0,1,0.2,4
01,1,08,01_08,panelist,high,NA,NA,3.8,FALSE,0.3333333333333333,TRUE,1,1,0,0,1,0.1,3.9
01,1,09,01_09,panelist,med,NA,NA,3.8,FALSE,0.3333333333333333,TRUE,1,0,0,0,0,0,3.8
01,1,10,01_10,reviewer,none,3.8,top,3.8,FALSE,0.3333333333333333,TRUE,0,0,0,1,0,0,3.8
01,1,11,01_11,panelist,none,NA,NA,3.8,FALSE,0.3333333333333333,TRUE,1,0,0,1,0,0,3.8
01,1,12,01_12,panelist,med,NA,NA,3.8,FALSE,0.3333333333333333,TRUE,1,0,0,0,0,0,3.8
01,1,13,01_13,panelist,none,NA,NA,3.8,FALSE,0.3333333333333333,TRUE,1,0,0,1,0,0,3.8
01,1,14,01_14,panelist,low,NA,NA,3.8,FALSE,0.3333333333333333,TRUE,1,0,1,0,0,0,3.8
01,1,15,01_15,panelist,med,NA,NA,3.8,FALSE,0.3333333333333333,TRUE,1,0,0,0,0,0,3.8
01,1,16,01_16,panelist,low,NA,NA,3.8,FALSE,0.3333333333333333,TRUE,1,0,1,0,1,0.2,4
01,1,17,01_17,reviewer,high,3.5,top,3.8,FALSE,0.3333333333333333,TRUE,0,1,0,0,0,0,3.8
01,1,18,01_18,panelist,high,NA,NA,3.8,FALSE,0.3333333333333333,TRUE,1,1,0,0,1,-0.2,3.6
