investigator,cycle,institution,amount_awarded,title
Alexander Crizzle,201709PJT,University of Saskatchewan,817213,Medically at-risk drivers: The road to developing evidence-based fitness to drive guidelines
Christine Friedenreich,201709PJT,University of Calgary,1971918,Alberta Moving Beyond Breast Cancer (AMBER) Cohort Study
Christine Wickens,201709PJT,Centre for Addiction and Mental Health (Toronto),949788,The Influence of Age on Driving-Related Cannabis Effects:  Exploring Cannabis Use Frequency and Related Factors
Darryl Leong,201709PJT,McMaster University,1354962,PURE Frailty
David Hammond,201709PJT,University of Waterloo (Ontario),1546297,Marijuana legalization policy: Impact on prevalence and risk behaviours among youth and young adults in Canada.
Jade Boyd,201709PJT,University of British Columbia,463120,"Women's overdose risk environments and the response to the overdose crisis in Vancouver, Canada"
Dean Eurich,201803PJT,University of Alberta,294526,"Understanding the Impact of Legal Cannabis Access on Health: A Large, Prospective Cohort Study of Canadians Obtaining Medical Cannabis Authorization"
Eugenia Oviedo-Joekes,201803PJT,University of British Columbia,1139898,Program of Outcomes Research on Treatment with Injectables for Addiction
Marie-Elise Parent,201803PJT,NA,624034,Workplace exposures and prostate cancer: analysis and reporting on a Canadian population-based study
Marilou Gagnon,201803PJT,University of Victoria (British Columbia),263925,"""Smoking is better than taking pills"": a longitudinal qualitative study of cannabis use and symptom management among people living with HIV"
Mary De Vera,201803PJT,University of British Columbia,470969,"Examining the epidemiology, treatment, and outcomes in young-onset colorectal cancer (EXPLAIN-yCRC)"
Sasha Bernatsky,201803PJT,Research Institute of the McGill University Health Centre,788767,Air pollution and systemic autoimmune rheumatic diseases
Benjamin Smith,201809PJT,Research Institute of the McGill University Health Centre,246258,A genome-wide association study of dysanapsis
Douglas Manuel,201809PJT,Ottawa Hospital Research Institute,502366,Measuring compression and expansion of morbidity from chronic diseases using a multivariable predictive approach
John Cox,201809PJT,Research Institute of the McGill University Health Centre,2768694,"Antiretroviral-based HIV prevention and its impact on sexual risk behaviours and HIV/STIs among gay, bisexual and other men who have sex with men: Engage Cohort Study"
Peter Smith,201809PJT,Institute for Work & Health (Toronto),569085,Toking 9 to 5? Examining the impact of cannabis legalization on workplace cannabis use and perceptions among Canadian workers
Ryan Mcneil,201809PJT,British Columbia Centre on Substance Use (Vancouver),667596,Housing and overdose risk environments: A community-based participatory research study
Andrea Krüsi,201903PJT,University of British Columbia,1045670,Evaluating Impacts of Structural and Community-Led Interventions on STBBI Risk Environments for Street and Off-Street Sex Workers
